,Num_Acc,lum,agg,atm,col,lat,long,datetime
0,202100000395,5,2,2,6,48.7695,2.48266,2021-10-21 01:20:00
1,202100000581,5,2,8,3,48.819358,2.487396,2021-12-23 19:15:00
2,202100000704,1,2,1,6,48.82907,2.53938,2021-12-31 16:12:00
3,202100000785,5,2,1,6,48.79442,2.41704,2021-12-31 18:10:00
4,202100000786,1,2,1,2,48.80478,2.48546,2021-12-31 08:45:00
5,202100000787,5,2,1,6,48.80648,2.48118,2021-12-30 03:05:00
6,202100000788,1,2,1,6,48.81827,2.37006,2021-12-31 12:50:00
7,202100000789,1,2,2,1,48.80015,2.45581,2021-12-29 10:20:00
8,202100000889,1,2,1,3,48.78759,2.34281,2021-12-30 16:15:00
9,202100000890,1,2,2,1,48.75133,2.41742,2021-12-29 16:30:00
10,202100001066,5,2,1,3,48.79562,2.43383,2021-12-28 19:20:00
11,202100001067,5,2,1,6,48.81046,2.36205,2021-12-28 19:40:00
12,202100001068,2,2,2,3,48.76403,2.3182,2021-12-29 08:45:00
13,202100001069,1,2,2,6,48.79509,2.45606,2021-12-28 09:45:00
14,202100001070,2,2,2,3,48.814985,2.463154,2021-12-29 17:10:00
15,202100001135,1,1,2,3,48.75943,2.33795,2021-12-29 10:40:00
16,202100001145,1,1,2,2,48.8276543997,2.5065243244,2021-12-29 10:35:00
17,202100001146,1,1,1,2,48.8291211439,2.4817299843,2021-12-28 17:10:00
18,202100001212,1,2,2,7,48.7941,2.49621,2021-12-27 14:00:00
19,202100001213,5,2,2,3,48.81422,2.349505,2021-12-27 17:40:00
20,202100001214,1,2,1,6,48.817936,2.4605,2021-12-27 14:25:00
21,202100001263,1,1,2,4,48.82772,2.50788,2021-12-27 13:15:00
22,202100001264,1,1,2,3,48.776755299,2.4185973987,2021-12-27 08:45:00
23,202100001299,5,2,2,6,48.75577,2.32802,2021-12-26 19:50:00
24,202100001344,5,1,2,4,48.76048,2.31988,2021-12-26 19:15:00
25,202100001383,1,2,8,3,48.79778,2.46438,2021-12-24 12:45:00
26,202100001437,5,1,1,6,48.8085628803,2.4490578633,2021-12-25 00:25:00
27,202100001438,3,1,2,6,48.7701146919,2.3822327243,2021-12-24 23:20:00
28,202100001439,1,1,1,2,48.7535043338,2.3613490863,2021-12-24 15:50:00
29,202100001504,5,2,1,3,48.79208,2.49715,2021-12-23 18:40:00
30,202100001505,1,2,1,6,48.7659110343,2.3374915123,2021-12-24 14:00:00
31,202100001506,1,2,2,3,48.81378,2.36073,2021-12-24 11:30:00
32,202100001507,5,2,1,6,48.7513693649,2.5005269051,2021-12-23 18:00:00
33,202100001508,1,2,1,3,48.79984,2.42708,2021-12-22 13:05:00
34,202100001628,5,2,8,1,48.81934,2.4874,2021-12-23 19:15:00
35,202100001629,1,2,1,6,48.80262,2.44688,2021-12-23 11:10:00
36,202100001630,1,2,1,3,48.7922,2.49721,2021-12-23 18:40:00
37,202100001631,5,2,1,3,48.80977,2.54284,2021-12-22 19:50:00
38,202100001680,2,1,1,4,48.8171389327,2.4422619339,2021-12-23 17:30:00
39,202100001753,1,2,1,3,48.78397,2.36734,2021-12-22 12:10:00
40,202100001754,5,2,1,6,48.82337,2.55847,2021-12-21 07:07:00
41,202100001908,5,2,1,3,48.834953,2.493783,2021-12-21 21:30:00
42,202100001909,3,2,1,6,48.829312,2.466849,2021-12-17 17:35:00
43,202100001910,1,2,1,3,48.81345,2.44366,2021-12-21 09:05:00
44,202100001911,1,2,1,3,48.7867,2.3374,2021-12-21 10:30:00
45,202100001912,2,2,1,3,48.819432,2.397922,2021-12-20 16:20:00
46,202100001913,5,2,1,1,48.76872,2.48079,2021-12-20 18:35:00
47,202100001914,1,2,1,6,48.7544,2.40933,2021-12-21 13:45:00
48,202100001915,3,2,1,6,48.760613,2.52689,2021-12-18 01:00:00
